date,price,volume,bid,ask,mid,imbalance,spread_chf,spread_pct,weighted_mid,micro_price,g_adj,mm_bid,mm_ask
08.04.2026,10500,64,10479.0,10521.0,10500.0,0.8,42.0,0.4,10512.6,10512.6,12.6,10481.1,10544.1
09.04.2026,10650,52,10628.7,10671.3,10650.0,0.8,42.6,0.4,10662.78,10662.78,12.78,10630.83,10694.73
10.04.2026,10650,64,10628.7,10671.3,10650.0,0.8,42.6,0.4,10662.78,10662.78,12.78,10630.83,10694.73
13.04.2026,10900,97,10878.2,10921.8,10900.0,0.8,43.6,0.4,10913.08,10913.08,13.08,10880.38,10945.78
14.04.2026,10800,122,10778.4,10821.6,10800.0,0.8,43.2,0.4,10812.96,10812.96,12.96,10780.56,10845.36
15.04.2026,10850,66,10828.3,10871.7,10850.0,0.8,43.4,0.4,10863.02,10863.02,13.02,10830.47,10895.57
16.04.2026,10900,67,10878.2,10921.8,10900.0,0.5,43.6,0.4,10900.0,10900.0,0.0,10867.3,10932.7
17.04.2026,10950,69,10928.1,10971.9,10950.0,0.8,43.8,0.4,10963.14,10963.14,13.14,10930.29,10995.99
20.04.2026,11050,108,11027.9,11072.1,11050.0,0.8,44.2,0.4,11063.26,11063.26,13.26,11030.11,11096.41
21.04.2026,11250,91,11227.5,11272.5,11250.0,0.8,45.0,0.4,11263.5,11263.5,13.5,11229.75,11297.25
22.04.2026,11350,144,11327.3,11372.7,11350.0,0.8,45.4,0.4,11363.62,11363.62,13.62,11329.57,11397.67
23.04.2026,11450,123,11427.1,11472.9,11450.0,0.8,45.8,0.4,11463.74,11463.74,13.74,11429.39,11498.09
24.04.2026,11550,67,11526.9,11573.1,11550.0,0.8,46.2,0.4,11563.86,11563.86,13.86,11529.21,11598.51
27.04.2026,11600,118,11576.8,11623.2,11600.0,0.8,46.4,0.4,11613.92,11613.92,13.92,11579.12,11648.72
28.04.2026,11650,52,11626.7,11673.3,11650.0,0.8,46.6,0.4,11663.98,11663.98,13.98,11629.03,11698.93
29.04.2026,11450,48,11427.1,11472.9,11450.0,0.2396,45.8,0.4,11438.07,11438.07,-11.93,11403.72,11472.42
30.04.2026,11600,92,11576.8,11623.2,11600.0,0.5,46.4,0.4,11600.0,11600.0,0.0,11565.2,11634.8
